FEELSLIKE_TEMP,TEMP,CITY,HUMIDITY,WIND_SPEED,TIME,WIND_DIR,PRESSURE_MB
16,16,Mum,82.00000,7.60000,2024-08-22T22:27:15.513444,ENE,1015.00000
25,23,Bengaluru,89.00000,11.20000,2024-08-22T22:27:03.742945,WSW,1014.00000
31,28,Visakhapatnam,78.00000,20.20000,2024-08-22T22:10:34.034989,WSW,1005.00000
25,23,Bengaluru,89.00000,11.20000,2024-08-22T22:26:40.528005,WSW,1014.00000
39,34,Kashmir,50.00000,8.60000,2024-08-22T22:28:33.845995,SE,1001.00000
34,29,Chenna,84.00000,16.90000,2024-08-22T22:28:09.223012,SSW,1007.00000
34,29,Chenna,84.00000,16.90000,2024-08-22T22:28:24.353386,SSW,1007.00000
28,25,Kochi,94.00000,3.60000,2024-08-22T22:26:01.068680,N,1009.00000
25,22,kerela,96.00000,6.50000,2024-08-22T22:31:18.311691,NW,1015.00000
25,22,kerela,96.00000,6.50000,2024-08-22T22:31:28.410599,NW,1015.00000
25,23,dehradun,92.00000,5.40000,2024-08-22T22:32:05.653880,NE,1005.00000
25,22,kerela,96.00000,6.50000,2024-08-22T22:31:59.998022,NW,1015.00000
28,25,Kochi,94.00000,3.60000,2024-08-22T22:26:26.361397,N,1009.00000
25,22,nepal,100.00000,3.60000,2024-08-22T22:30:56.401667,N,1014.00000
